Status,Score,Match_type,Match_addr,City,Region,Country,LangCode,Addr_type,Distance,lon,lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_City,ARC_State,ORGANIZATI,CITY_1,STATE,COUNTRY_1,AWARDS,FUNDING
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KAMPALA,,BAYLOR COLL OF MED CHILDREN'S FDN-UGANDA,KAMPALA,,UGANDA,1,48600
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,GABORONE,,BOTSWANA BAYLOR CHILD/CLINCAL CTR/EXCELL,GABORONE,,BOTSWANA,1,1000000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,GABORONE,,BOTSWANA-HARVARD AIDS INSTITUTE,GABORONE,,BOTSWANA,1,239055
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,VANCOUVER,BC,BRITISH COLUMBIA CANCER AGENCY,VANCOUVER,BC,CANADA,3,687179
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CARDIFF,,CARDIFF UNIVERSITY,CARDIFF,,UNITED KINGDOM,2,764242
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,OLDENBURG,,CARL VON OSSIETZKY UNIVERSITAT OLDENBURG,OLDENBURG,,GERMANY,1,260865
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CALI,,CAUCASECO SCIENTIFIC RESEARCH CENTER,CALI,,COLOMBIA,1,1549462
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CUERNAVACA,,CENTER FOR GENOMIC SCIENCES,CUERNAVACA,,MEXICO,1,405708
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,CENTRE FOR ADDICTION AND MENTAL HEALTH,TORONTO,ON,CANADA,14,2599448
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Durban,,CENTRE/AIDS PROGRAMME/RES/SOUTH AFRICA,Durban,,SOUTH AFRICA,7,2816292
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CALI,,CENTRO INTERNACIONAL (CIDEIM),CALI,,COLOMBIA,1,134699
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BUENOS AIRES,,CENTER/ ENDOCRINOLOGICAL INVESTIGATIONS,BUENOS AIRES,,ARGENTINA,1,45000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LUSAKA,,CENTRE FOR INFECTIOUS DISEASE RESEARCH,LUSAKA,,ZAMBIA,1,119937
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CHIANG MAI,,CHIANG MAI UNIVERSITY,CHIANG MAI,,THAILAND,1,1209654
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,VELLORE,,CHRISTIAN MEDICAL COLLEGE,VELLORE,,INDIA,1,239085
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SHENYANG,,CHINA MEDICAL UNIVERSITY,SHENYANG,,CHINA,1,131166
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,IQUITOS,,CIVIL ASSOCIATION OF THE AMAZON JUNGLE,IQUITOS,,PERU,1,301060
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MONTREAL,QC,CLINICAL RESEARCH INSTITUTE OF MONTREAL,MONTREAL,QC,CANADA,1,226571
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,HARARE,,COLLEGE OF HEALTH SCIS UNIV OF ZIMBABWE,HARARE,,ZIMBABWE,5,1222938
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LEIDEN,,"CRUCELL HOLLAND, BV",LEIDEN,,NETHERLANDS,1,14483618
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,REYKJAVIK,,"DECODE GENETICS, EHF",REYKJAVIK,,ICELAND,2,1013843
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAPE TOWN,,DESMOND TUTU HIV FOUNDATION,CAPE TOWN,,SOUTH AFRICA,2,601618
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MAPUTO,,EDUARDO MONDLANE UNIVERSITY,MAPUTO,,MOZAMBIQUE,2,789431
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BUENOS AIRES,,EVA PERON ACUTE INTERZONAL GEN HOSPITAL,BUENOS AIRES,,ARGENTINA,1,130684
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,HEIDELBERG,,EUROPEAN MOLECULAR BIOLOGY LABORATORY,HEIDELBERG,,GERMANY,7,10384602
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BUENOS AIRES,,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,BUENOS AIRES,,ARGENTINA,1,273833
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BARCELONA,,FDN INSTITUTE/RESEARCH/VALL D'HEBRON HOS,BARCELONA,,SPAIN,1,134893
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,VITORIA,,FEDERAL UNIVERSITY OF ESPIRITO SANTO,VITORIA,,BRAZIL,1,148016
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SALVADOR,,FEDERAL UNIVERSITY OF BAHIA,SALVADOR,,BRAZIL,1,299958
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PRETORIA,,FOUNDATION FOR PROFESSIONAL DEVELOPMENT,PRETORIA,,SOUTH AFRICA,1,148325
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BELO HORIZONTE,,FOUNDATION FOR RESEARCH DEVELOPMENT,BELO HORIZONTE,,BRAZIL,3,479215
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BERLIN,,FREE UNIVERSITY OF BERLIN,BERLIN,,GERMANY,2,386100
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,FUKUOKA,,FUKUOKA DENTAL COLLEGE,FUKUOKA,,JAPAN,1,250000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MANHICA,,FUNDACAO MANHICA,MANHICA,,MOZAMBIQUE,1,130270
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SAO PAULO,,FUNDACAO FACULDADE DE MEDICINA,SAO PAULO,,BRAZIL,2,870264
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BUENOS AIRES,,FUNDACION INSTITUTO LELOIR,BUENOS AIRES,,ARGENTINA,1,123120
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BUENOS AIRES,,FUND INST BIOL Y MED EXPERIMENTAL,BUENOS AIRES,,ARGENTINA,1,54000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,"TRES RIOS, CARTAGO",,FUNDACION INCIENSA,"TRES RIOS, CARTAGO",,COSTA RICA,1,3830610
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,RIO DE JANEIRO,,FUNDACAO OSWALDO CRUZ,RIO DE JANEIRO,,BRAZIL,1,1104340
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BEJING,,GEORGE INSTITUTE CHINA,BEJING,,CHINA,1,335668
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PORT-AU-PRINCE,,GHESKIO CENTER,PORT-AU-PRINCE,,HAITI,1,1110670
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Gothenburg,,GOTEBORG UNIVERSITY,Gothenburg,,SWEDEN,2,778510
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,JERUSALEM,,HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,,ISRAEL,2,637066
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,HOSPITAL FOR SICK CHLDRN (TORONTO),TORONTO,ON,CANADA,5,1340948
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,WELWYN GARDEN CITY,,"HEPTARES THERAPEUTICS, LTD",WELWYN GARDEN CITY,,UNITED KINGDOM,1,1869612
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ISLAMABAD,,HUMAN DEVELOPMENT RESEARCH FOUNDATION,ISLAMABAD,,PAKISTAN,1,69984
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BANGALORE,,INDIAN INSTITUTE OF SCIENCE,BANGALORE,,INDIA,1,121500
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KOTA KINABALU,,INFECTIOUS DISEASE SOCIETY KOTA KINABALU,KOTA KINABALU,,MALAYSIA,1,136728
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SHANGHAI,,INSTITUT PASTEUR OF SHANGHAI,SHANGHAI,,CHINA,2,233067
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TUNIS,,INSTITUT PASTEUR DE TUNIS,TUNIS,,TUNISIA,1,137642
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,FREIBURG,,INSTITUT FUR IMMUNBIOLOGIE/EPIGENETIK,FREIBURG,,GERMANY,5,1084460
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ABUJA,,INSTITUTE OF HUMAN VIROLOGY,ABUJA,,NIGERIA,4,1961500
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Marseille,,INSTITUTE OF RESEARCH AND DEVELOPMENT,Marseille,,FRANCE,1,100000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SAN MARTIN,,INSTITUTE/RESEARCH/BIOTECHNOLOGY FDN,SAN MARTIN,,ARGENTINA,2,266110
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CIUDAD DE BUENOS AIRES,,INSTITUTO DE EFECTIVIDAD CLINICA Y SANIT,CIUDAD DE BUENOS AIRES,,ARGENTINA,1,156594
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LYON,,INTERNATIONAL AGENCY FOR RES ON CANCER,LYON,,FRANCE,9,3153534
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,DHAKA,,INTERNATIONAL CTR/DIARRHOEAL DIS RES,DHAKA,,BANGLADESH,3,505618
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,NAIROBI,,INTERNATIONAL CENTRE OF INSECT PHYSIOLOG,NAIROBI,,KENYA,1,134357
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ROME,,ISTITUTO SUPERIORE DI SANITA,ROME,,ITALY,2,119532
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LEUVEN,,KATHOLIEKE UNIVERSITEIT LEUVEN,LEUVEN,,BELGIUM,3,331427
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,STOCKHOLM,,KAROLINSKA INSTITUTE,STOCKHOLM,,SWEDEN,2,56118
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,NAIROBI,,KENYA MEDICAL RESEARCH INSTITUTE (KEMRI),NAIROBI,,KENYA,2,173305
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MOSHI,,KILIMANJARO CHRISTIAN MEDICAL COLLEGE,MOSHI,,TANZANIA U REP,1,640000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KHON KAEN,,KHON KAEN UNIVERSITY,KHON KAEN,,THAILAND,1,307383
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LONDON,,KING'S COLLEGE LONDON,LONDON,,UNITED KINGDOM,2,421595
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,EDMONTON,AB,KMT HEPATECH INC,EDMONTON,AB,CANADA,1,842763
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KUMASI,,KWAME NKRUMAH UNIVERSITY/SCIENCE/TECH,KUMASI,,GHANA,2,521123
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Durban,,KWAZULU-NATAL RESEARCH INSTITUTE TB-HIV,Durban,,SOUTH AFRICA,1,176991
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LEIDEN,,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN,,NETHERLANDS,3,211948
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LONDON,,LONDON SCH/HYGIENE & TROPICAL MEDICINE,LONDON,,UNITED KINGDOM,3,637826
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LUND,,LUND UNIVERSITY,LUND,,SWEDEN,1,472905
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,NAKHON PATHOM,,MAHIDOL UNIVERSITY,NAKHON PATHOM,,THAILAND,5,1129557
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KAMPALA,,MAKERERE UNIVERSITY,KAMPALA,,UGANDA,6,2139614
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KAMPALA,,MAKERERE UNIVERSITY WALTER REED PROJECT,KAMPALA,,UGANDA,1,48600
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CALI,,MALARIA VACCINE DEVELOPMENT CENTER,CALI,,COLOMBIA,1,416829
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MUENCHEN,,MAX PLANCK INST/SOCIAL LAW/SOCIAL POLICY,MUENCHEN,,GERMANY,1,410000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MBARARA,,MBARARA UNIVERSITY/SCIENCE/ TECHNOLOGY,MBARARA,,UGANDA,2,739717
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MONTREAL,QC,MCGILL UNIVERSITY,MONTREAL,QC,CANADA,10,1797271
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MONTREAL,PQ,MCGILL UNIVERSITY HEALTH CTR RES INST,MONTREAL,PQ,CANADA,3,2251026
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,HAMILTON,ON,MCMASTER UNIVERSITY,HAMILTON,ON,CANADA,3,1779738
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAPE TOWN,,MEDICAL RESEARCH COUNCIL OF SOUTH AFRICA,CAPE TOWN,,SOUTH AFRICA,2,1057455
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CUERNAVACA,,MEXICO NATIONAL INSTITUTE OF PUBLIC HLTH,CUERNAVACA,,MEXICO,1,247164
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MELBOURNE,,MONASH UNIVERSITY,MELBOURNE,,AUSTRALIA,4,2551481
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MONTREAL,PQ,MONTREAL HEART INSTITUTE,MONTREAL,PQ,CANADA,3,1320708
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KAMPALA,,MU-JHU CARE,KAMPALA,,UGANDA,2,823253
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MELBOURNE,,MURDOCH CHILDREN'S RESEARCH INSTITUTE,MELBOURNE,,AUSTRALIA,1,345777
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,NANJING,,NANJING MEDICAL UNIVERSITY,NANJING,,CHINA,1,94638
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SINGAPORE,,NANYANG TECHNOLOGICAL UNIVERSITY,SINGAPORE,,SINGAPORE,1,118638
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PUNE,,NATIONAL AIDS RESEARCH INSTITUTE,PUNE,,INDIA,1,30240
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BEIJING,,NATIONAL CENTER FOR AIDS/STD CONTROL AND PREVENTION,BEIJING,,CHINA,1,1
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KOYANG,,NATIONAL CANCER CENTER,KOYANG,,KOREA REP OF,1,10000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KALUTARA,,NATIONAL INSTITUTE OF HEALTH SCIENCES,KALUTARA,,SRI LANKA,1,49311
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,COTONOU,,NAT'L HOSPITAL/TUBERCULOSIS/PUL/DISEASES,COTONOU,,BENIN,1,558233
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CORDOBA,,NATIONAL RESEARCH COUNCIL OF ARGENTINA,CORDOBA,,ARGENTINA,2,266480
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LEGON,,NOGUCHI MEMORIAL INSTITUTE / MEDICAL RES,LEGON,,GHANA,4,1294284
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,OSLO,,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,OSLO,,NORWAY,1,375000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,WINNIPEG,MB,NRC--INSTITUTE FOR BIODIAGOSTICS,WINNIPEG,MB,CANADA,1,214312
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,ONTARIO INSTITUTE FOR CANCER RESEARCH,TORONTO,ON,CANADA,1,1271107
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PARKVILLE,,ORYGEN YOUTH HEALTH RESEARCH CENTRE,PARKVILLE,,AUSTRALIA,1,1616896
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,OTTAWA,ON,OTTAWA HOSPITAL RESEARCH INSTITUTE,OTTAWA,ON,CANADA,1,269940
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TBILISI,,PARTNERSHIP FOR RESEARCH/ACTION/HEALTH,TBILISI,,GEORGIA,1,30240
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BEIJING,,PEKING UNIVERSITY,BEIJING,,CHINA,3,1054760
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PARIS,,PIERRE AND MARIE CURIE UNIVERSITY,PARIS,,FRANCE,2,140217
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,"HAT YAI, SONGKHLA",,PRINCE OF SONGKLA UNIVERSITY,"HAT YAI, SONGKHLA",,THAILAND,1,215999
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SALISBURY,,PUBLIC HEALTH ENGLAND,SALISBURY,,UNITED KINGDOM,2,180480
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Gurgaon,,PUBLIC HEALTH FOUNDATION OF INDIA,Gurgaon,,INDIA,1,299966
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KINGSTON,ON,QUEEN'S UNIVERSITY AT KINGSTON,KINGSTON,ON,CANADA,5,3638778
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KIGALI,,RASD RWANDA,KIGALI,,,1,308231
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,REDEMPTION CITY,,REDEEMER'S UNIVERSITY,REDEMPTION CITY,,NIGERIA,1,300000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MUNTINLUPA CITY,,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,MUNTINLUPA CITY,,PHILIPPINES,1,333336
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAMBRIDGE,,SANGER INSTITUTE,CAMBRIDGE,,UNITED KINGDOM,1,2582205
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,SHANGHAI,,SHANGHAI INSTITUTE OF MATERIA MEDICA,SHANGHAI,,CHINA,1,135000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BURNABY,BC,SIMON FRASER UNIVERSITY,BURNABY,BC,CANADA,2,967164
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,SINAI HEALTH SYSTEM,TORONTO,ON,CANADA,5,1764605
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAPE TOWN,,STELLENBOSCH UNIVERSITY TYGERBERG CAMPUS,CAPE TOWN,,SOUTH AFRICA,10,3561665
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,SUNNYBROOK RESEARCH INSTITUTE,TORONTO,ON,CANADA,2,587858
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MANAGUA,,SUSTAINABLE SCIENCES INSTITUTE,MANAGUA,,NICARAGUA,2,346616
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ZURICH,,SWISS FEDERAL INST OF TECH (ETH ZURICH),ZURICH,,SWITZERLAND,2,54294
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MUNICH,,TECHNICAL UNIVERSITY OF MUNICH,MUNICH,,GERMANY,1,110702
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TEL AVIV,,TEL AVIV UNIVERSITY,TEL AVIV,,ISRAEL,1,199019
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TEL AVIV,,TEL-AVIV SOURASKY MEDICAL CENTER,TEL AVIV,,ISRAEL,1,483404
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,RIJSWIJK,,"TNO DEFENCE, SECURITY AND SAFETY",RIJSWIJK,,NETHERLANDS,1,58932
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LIVERPOOL,,TMLIVERPOOL SCHOOL OF TROPICAL MEDICINE,LIVERPOOL,,UNITED KINGDOM,1,497509
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,DUBLIN,,TRINITY COLLEGE DUBLIN,DUBLIN,,IRELAND,2,429766
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LONDON,,U OF L IMPERIAL COL OF SCI/TECHNLGY/MED,LONDON,,UNITED KINGDOM,6,2487491
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ENTEBBE,,UGANDA VIRUS RESEARCH INSTITUTE,ENTEBBE,,UGANDA,1,131655
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BAMAKO,,"UNIV OF SCIENCES, TECH & TECH OF BAMAKO",BAMAKO,,MALI,4,953380
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LONDON,,UNIV/LONDON-QUEEN MARY& WESTFIELD COLL,LONDON,,UNITED KINGDOM,1,435605
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LIMA,,UNIVERSIDAD PERUANA CAYETANO HEREDIA,LIMA,,PERU,15,2938761
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LONDON,,UNIVERSITY COLLEGE LONDON,LONDON,,UNITED KINGDOM,4,4158410
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,TORONTO,ON,UNIVERSITY HEALTH NETWORK,TORONTO,ON,CANADA,8,4440388
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ADELAIDE,,UNIVERSITY OF ADELAIDE,ADELAIDE,,AUSTRALIA,1,341190
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,UTRECHT,,UNIVERSITY MEDICAL CENTER UTRECHT,UTRECHT,,NETHERLANDS,1,887937
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BARRANQUILLA,,UNIVERSITY DEL NORTE,BARRANQUILLA,,COLOMBIA,1,110496
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BASEL,,UNIVERSITY HOSPITAL BASEL,BASEL,,SWITZERLAND,1,260335
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,EDMONTON,AB,UNIVERSITY OF ALBERTA,EDMONTON,AB,CANADA,2,663062
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BATH,,UNIVERSITY OF BATH,BATH,,UNITED KINGDOM,1,361918
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,GABORONE,,UNIVERSITY OF BOTSWANA,GABORONE,,BOTSWANA,1,30240
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Bern,,UNIVERSITY OF BERN,Bern,,SWITZERLAND,1,2500000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,VANCOUVER,BC,UNIVERSITY OF BRITISH COLUMBIA,VANCOUVER,BC,CANADA,26,6176267
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BRISTOL,,UNIVERSITY OF BRISTOL,BRISTOL,,UNITED KINGDOM,2,800166
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CALGARY,AB,UNIVERSITY OF CALGARY,CALGARY,AB,CANADA,7,1546578
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAMBRIDGE,,UNIVERSITY OF CAMBRIDGE,CAMBRIDGE,,UNITED KINGDOM,6,3102416
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,RONDEBOSCH,,UNIVERSITY OF CAPE TOWN,RONDEBOSCH,,SOUTH AFRICA,30,11583392
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,COLOMBO,,UNIVERSITY OF COLOMBO,COLOMBO,,SRI LANKA,1,119240
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,NORFOLK,,UNIVERSITY OF EAST ANGLIA,NORFOLK,,UNITED KINGDOM,2,753855
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,Geneva,,UNIVERSITY OF GENEVA,Geneva,,SWITZERLAND,1,330099
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,EDINBURGH,,UNIVERSITY OF EDINBURGH,EDINBURGH,,UNITED KINGDOM,1,120000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LEGON,,UNIVERSITY OF GHANA,LEGON,,GHANA,1,93111
